File;Place;Id;Night_Date;Date_Time;Date;Year;Month;Week;Day;Time;Hour;Minute
BST-1_20180705_225249_804.wav;BST-1;ChiroSp;2018-07-05;2018-07-05 22:52;2018-07-05;2018;7;27;5;22:52;22;52
BST-1_20180705_231823_468.wav;BST-1;ChiroSp;2018-07-05;2018-07-05 23:18;2018-07-05;2018;7;27;5;23:18;23;18
BST-1_20180705_231855_310.wav;BST-1;ChiroSp;2018-07-05;2018-07-05 23:18;2018-07-05;2018;7;27;5;23:18;23;18
BST-1_20180705_232111_856.wav;BST-1;ChiroSp;2018-07-05;2018-07-05 23:21;2018-07-05;2018;7;27;5;23:21;23;21
BST-1_20180705_232116_856.wav;BST-1;ChiroSp;2018-07-05;2018-07-05 23:21;2018-07-05;2018;7;27;5;23:21;23;21
BST-1_20180705_232209_000.wav;BST-1;ChiroSp;2018-07-05;2018-07-05 23:22;2018-07-05;2018;7;27;5;23:22;23;22
BST-1_20180705_232332_289.wav;BST-1;ChiroSp;2018-07-05;2018-07-05 23:23;2018-07-05;2018;7;27;5;23:23;23;23
BST-1_20180705_233320_918.wav;BST-1;ChiroSp;2018-07-05;2018-07-05 23:33;2018-07-05;2018;7;27;5;23:33;23;33
BST-1_20180705_234958_686.wav;BST-1;ChiroSp;2018-07-05;2018-07-05 23:49;2018-07-05;2018;7;27;5;23:49;23;49
BST-1_20180705_235408_427.wav;BST-1;ChiroSp;2018-07-05;2018-07-05 23:54;2018-07-05;2018;7;27;5;23:54;23;54
BST-1_20180705_235427_960.wav;BST-1;ChiroSp;2018-07-05;2018-07-05 23:54;2018-07-05;2018;7;27;5;23:54;23;54
BST-1_20180705_235448_255.wav;BST-1;ChiroSp;2018-07-05;2018-07-05 23:54;2018-07-05;2018;7;27;5;23:54;23;54
BST-1_20180706_001216_009.wav;BST-1;ChiroSp;2018-07-05;2018-07-06 00:12;2018-07-06;2018;7;27;6;00:12;0;12
BST-1_20180706_001309_495.wav;BST-1;ChiroSp;2018-07-05;2018-07-06 00:13;2018-07-06;2018;7;27;6;00:13;0;13
BST-1_20180706_003331_548.wav;BST-1;ChiroSp;2018-07-05;2018-07-06 00:33;2018-07-06;2018;7;27;6;00:33;0;33
BST-1_20180706_003503_374.wav;BST-1;ChiroSp;2018-07-05;2018-07-06 00:35;2018-07-06;2018;7;27;6;00:35;0;35
BST-1_20180706_003805_388.wav;BST-1;ChiroSp;2018-07-05;2018-07-06 00:38;2018-07-06;2018;7;27;6;00:38;0;38
BST-1_20180706_004043_607.wav;BST-1;ChiroSp;2018-07-05;2018-07-06 00:40;2018-07-06;2018;7;27;6;00:40;0;40
BST-1_20180706_004310_377.wav;BST-1;ChiroSp;2018-07-05;2018-07-06 00:43;2018-07-06;2018;7;27;6;00:43;0;43
BST-1_20180706_004315_377.wav;BST-1;ChiroSp;2018-07-05;2018-07-06 00:43;2018-07-06;2018;7;27;6;00:43;0;43
BST-1_20180706_013403_199.wav;BST-1;ChiroSp;2018-07-05;2018-07-06 01:34;2018-07-06;2018;7;27;6;01:34;1;34
BST-1_20180706_015542_891.wav;BST-1;ChiroSp;2018-07-05;2018-07-06 01:55;2018-07-06;2018;7;27;6;01:55;1;55
BST-1_20180706_020053_430.wav;BST-1;ChiroSp;2018-07-05;2018-07-06 02:00;2018-07-06;2018;7;27;6;02:00;2;0
BST-1_20180706_021043_526.wav;BST-1;ChiroSp;2018-07-05;2018-07-06 02:10;2018-07-06;2018;7;27;6;02:10;2;10
BST-1_20180706_022408_040.wav;BST-1;ChiroSp;2018-07-05;2018-07-06 02:24;2018-07-06;2018;7;27;6;02:24;2;24
BST-1_20180706_023528_618.wav;BST-1;ChiroSp;2018-07-05;2018-07-06 02:35;2018-07-06;2018;7;27;6;02:35;2;35
BST-1_20180706_023533_618.wav;BST-1;ChiroSp;2018-07-05;2018-07-06 02:35;2018-07-06;2018;7;27;6;02:35;2;35
BST-1_20180706_025702_321.wav;BST-1;ChiroSp;2018-07-05;2018-07-06 02:57;2018-07-06;2018;7;27;6;02:57;2;57
BST-1_20180706_033814_227.wav;BST-1;ChiroSp;2018-07-05;2018-07-06 03:38;2018-07-06;2018;7;27;6;03:38;3;38
BST-1_20180706_033819_227.wav;BST-1;ChiroSp;2018-07-05;2018-07-06 03:38;2018-07-06;2018;7;27;6;03:38;3;38
BST-1_20180706_034146_645.wav;BST-1;ChiroSp;2018-07-05;2018-07-06 03:41;2018-07-06;2018;7;27;6;03:41;3;41
