Site;File;Id;Contact;Group;IGp;Species;ISp;Year;Month;Day;Hour;Minute;Date;Time;Night_Date
BST-1;BST-1_20180611_230539_377.wav;PippiT;Main;PipMi;10;PippiT;10;2018;6;11;23;5;2018-06-11;23:05;2018-06-11
BST-1;BST-1_20180611_232701_671.wav;PippiT;Main;PipMi;10;PippiT;10;2018;6;11;23;27;2018-06-11;23:27;2018-06-11
BST-1;BST-1_20180611_232706_671.wav;PippiT;Main;PipMi;10;PippiT;10;2018;6;11;23;27;2018-06-11;23:27;2018-06-11
BST-1;BST-1_20180611_235307_565.wav;PippiT;Main;PipMi;10;PippiT;10;2018;6;11;23;53;2018-06-11;23:53;2018-06-11
BST-1;BST-1_20180611_235312_565.wav;PippiT;Main;PipMi;10;PippiT;10;2018;6;11;23;53;2018-06-11;23:53;2018-06-11
BST-1;BST-1_20180612_013320_155.wav;PippiT;Main;PipMi;10;PippiT;10;2018;6;12;1;33;2018-06-12;01:33;2018-06-11
BST-1;BST-1_20180612_013325_155.wav;PippiT;Main;PipMi;10;PippiT;10;2018;6;12;1;33;2018-06-12;01:33;2018-06-11
BST-1;BST-1_20180612_014026_450.wav;PippiT;Main;PipMi;10;PippiT;10;2018;6;12;1;40;2018-06-12;01:40;2018-06-11
BST-1;BST-1_20180612_014031_450.wav;PippiT;Main;PipMi;10;PippiT;10;2018;6;12;1;40;2018-06-12;01:40;2018-06-11
BST-1;BST-1_20180612_224904_000.wav;PippiT;Main;PipMi;10;PippiT;10;2018;6;12;22;49;2018-06-12;22:49;2018-06-12
BST-1;BST-1_20180612_224922_035.wav;PippiT;Main;PipMi;10;PippiT;10;2018;6;12;22;49;2018-06-12;22:49;2018-06-12
BST-1;BST-1_20180612_224927_035.wav;PippiT;Main;PipMi;10;PippiT;10;2018;6;12;22;49;2018-06-12;22:49;2018-06-12
BST-1;BST-1_20180612_230544_305.wav;PippiT;Main;PipMi;10;PippiT;10;2018;6;12;23;5;2018-06-12;23:05;2018-06-12
BST-1;BST-1_20180612_230549_305.wav;PippiT;Main;PipMi;10;PippiT;10;2018;6;12;23;5;2018-06-12;23:05;2018-06-12
BST-1;BST-1_20180613_002200_000.wav;PippiT;Main;PipMi;10;PippiT;10;2018;6;13;0;22;2018-06-13;00:22;2018-06-12
BST-1;BST-1_20180613_002205_000.wav;PippiT;Main;PipMi;10;PippiT;10;2018;6;13;0;22;2018-06-13;00:22;2018-06-12
BST-1;BST-1_20180613_050656_119.wav;PippiT;Main;PipMi;10;PippiT;10;2018;6;13;5;6;2018-06-13;05:06;2018-06-12
BST-1;BST-1_20180610_224146_015.wav;PippiT;Main;PipMi;10;PippiT;9;2018;6;10;22;41;2018-06-10;22:41;2018-06-10
BST-1;BST-1_20180610_222820_037.wav;PippiT;Main;PipMi;9;PippiT;9;2018;6;10;22;28;2018-06-10;22:28;2018-06-10
BST-1;BST-1_20180610_222902_652.wav;PippiT;Main;PipMi;9;PippiT;9;2018;6;10;22;29;2018-06-10;22:29;2018-06-10
BST-1;BST-1_20180610_223014_295.wav;PippiT;Main;PipMi;9;PippiT;9;2018;6;10;22;30;2018-06-10;22:30;2018-06-10
BST-1;BST-1_20180610_223039_623.wav;PippiT;Main;PipMi;9;PippiT;9;2018;6;10;22;30;2018-06-10;22:30;2018-06-10
BST-1;BST-1_20180610_223235_736.wav;PippiT;Main;PipMi;9;PippiT;9;2018;6;10;22;32;2018-06-10;22:32;2018-06-10
BST-1;BST-1_20180610_233624_000.wav;PippiT;Main;PipMi;9;PippiT;9;2018;6;10;23;36;2018-06-10;23:36;2018-06-10
BST-1;BST-1_20180611_013626_067.wav;PippiT;Main;PipMi;9;PippiT;9;2018;6;11;1;36;2018-06-11;01:36;2018-06-10
BST-1;BST-1_20180611_223114_275.wav;PippiT;Main;PipMi;9;PippiT;9;2018;6;11;22;31;2018-06-11;22:31;2018-06-11
BST-1;BST-1_20180611_234832_073.wav;PippiT;Main;PipMi;9;PippiT;9;2018;6;11;23;48;2018-06-11;23:48;2018-06-11
BST-1;BST-1_20180610_222503_794.wav;PippiT;Main;PipMi;8;PippiT;8;2018;6;10;22;25;2018-06-10;22:25;2018-06-10
BST-1;BST-1_20180610_222815_037.wav;PippiT;Main;PipMi;8;PippiT;8;2018;6;10;22;28;2018-06-10;22:28;2018-06-10
BST-1;BST-1_20180610_222907_652.wav;PippiT;Main;PipMi;8;PippiT;8;2018;6;10;22;29;2018-06-10;22:29;2018-06-10
BST-1;BST-1_20180610_223033_634.wav;PippiT;Main;PipMi;8;PippiT;8;2018;6;10;22;30;2018-06-10;22:30;2018-06-10
BST-1;BST-1_20180610_223044_623.wav;PippiT;Main;PipMi;8;PippiT;8;2018;6;10;22;30;2018-06-10;22:30;2018-06-10
BST-1;BST-1_20180610_223049_623.wav;PippiT;Main;PipMi;8;PippiT;8;2018;6;10;22;30;2018-06-10;22:30;2018-06-10
BST-1;BST-1_20180610_223115_053.wav;PippiT;Main;PipMi;8;PippiT;8;2018;6;10;22;31;2018-06-10;22:31;2018-06-10
BST-1;BST-1_20180611_040201_352.wav;PippiT;Main;PipMi;8;PippiT;8;2018;6;11;4;2;2018-06-11;04:02;2018-06-10
BST-1;BST-1_20180613_050232_224.wav;PippiT;Main;PipMi;8;PippiT;8;2018;6;13;5;2;2018-06-13;05:02;2018-06-12
BST-1;BST-1_20180610_222201_531.wav;PippiT;Main;PipMi;7;PippiT;7;2018;6;10;22;22;2018-06-10;22:22;2018-06-10
BST-1;BST-1_20180610_222923_817.wav;PippiT;Main;PipMi;7;PippiT;7;2018;6;10;22;29;2018-06-10;22:29;2018-06-10
BST-1;BST-1_20180610_223001_699.wav;PippiT;Main;PipMi;7;PippiT;7;2018;6;10;22;30;2018-06-10;22:30;2018-06-10
BST-1;BST-1_20180610_223159_242.wav;PippiT;Main;PipMi;6;PippiT;6;2018;6;10;22;31;2018-06-10;22:31;2018-06-10
BST-1;BST-1_20180611_030944_470.wav;Pleaus;Main;Plesp;10;Pleaus;7;2018;6;11;3;9;2018-06-11;03:09;2018-06-10
