"nom du fichier";"temps_debut";"temps_fin";"frequence_mediane";"tadarida_taxon";"tadarida_probabilite";"tadarida_taxon_autre";"observateur_taxon";"observateur_probabilite";"validateur_taxon";"validateur_probabilite"
"Car791055-2025-Pass1-Z8-VDN-5_20250708_215313_000";"0.0";5.0;174.0;"noise";0.98;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_215313_000";0.2;4.6;18.0;"Plaint";0.03;"Phogri, Tetvir";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_215318_000";"0.0";0.1;80.0;"noise";0.94;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_215323_000";1.0;1.3;43.0;"Confus";0.06;"Phogri";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_215323_000";"0.0";1.7;18.0;"noise";0.96;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_215325_000";"0.0";5.0;80.0;"noise";0.98;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_215537_000";"0.0";5.0;174.0;"noise";0.97;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_215537_000";4.4;4.5;35.0;"Tetvir";0.02;"Pleaus, Pleaur, Yposp, Yerray, Yerbey, Vesmur, Urosp, Tyllil, Thycor, Tetpyg, Tetarg, Testes, Tadten, Sepsep, Rusnit, Roeroe, Rhihip, Rhifer, Rhieur, Rhasp, Ratnor, Plemac, Plasab, Plaint, Plafal, Plaalb, Plaaff, Pippyg, Pippip, Pipnat, Pipkuh, piaf, Phogri, Phofem, Phanan, Phafal, Nycnoc, Nyclei, Nyclas, Myonat, Myomys, MyoGT, Myoema, Myodau, Myogla, Myocap, Myobec, Myoalc, Mussp, Minsch, Mimasp, Micagr, Metbra, mamm, Leppun, Lepbos, Lepalb, Lamsp., Isopyr, Inssp8, Inssp7, Inssp5, Insp12, Insp11, Insp10, Hypsav, gril, Eupsp, Eptser, Eptnil, Epheph, Decalb, Cyrscu, Cympud, criq, Confus, Tetarg, Barfis, Barbar, Antsp, amph";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_215542_000";"0.0";5.0;174.0;"noise";0.99;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_215542_000";0.7;4.0;19.0;"Phogri";0.05;"Plaint";"";"";"";""
